,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,free,size_megabytes,game
0,3.99,21292,26,4.0,4.5,6,4,1,38,5,10,True,0,96.119140625,1
1,0.0,161065,26,4.0,3.5,8,4,5,37,5,23,True,1,151.232421875,0
2,0.0,188583,2822,3.5,4.5,5,4,5,37,5,3,True,1,95.8671875,0
3,0.0,262241,649,4.0,4.5,5,12,5,37,5,9,True,1,122.55859375,0
4,0.0,985920,5320,4.5,5.0,7,4,5,37,5,45,True,1,88.4765625,0
5,0.99,8253,5516,4.0,4.0,1,4,1,47,5,1,True,0,9.999955177307129,1
6,0.0,119487,879,4.0,4.5,6,4,5,37,0,19,True,1,217.2431640625,0
7,0.0,1126879,3594,4.0,4.5,8,12,5,37,4,1,True,1,124.208984375,0
8,9.99,1117,4,4.5,5.0,3,4,5,37,5,1,True,0,46.96875,0
9,3.99,7885,40,4.0,4.0,4,4,1,38,0,10,True,0,66.779296875,1
10,4.99,76720,4017,4.5,4.5,4,4,1,38,4,11,True,0,47.3203125,1
11,7.99,105776,166,3.5,2.5,5,4,1,37,0,6,True,0,217.005859375,1
12,0.0,479440,203,3.5,4.0,27,17,5,37,4,33,True,1,171.6416015625,0
13,0.0,119773,2336,3.5,4.5,7,4,5,37,0,2,True,1,153.470703125,0
14,4.99,6340,668,4.5,4.5,4,4,1,38,5,2,True,0,52.5986328125,1
15,0.0,56194,87,4.0,3.5,21,4,5,37,1,26,True,1,198.2763671875,0
16,0.0,2974676,212,3.5,3.5,95,4,5,37,1,29,True,1,371.818359375,0
17,0.0,223885,3726,4.0,4.5,11,12,5,37,5,18,True,1,159.65234375,0
18,0.0,402925,136,4.0,4.5,11,12,5,37,3,16,True,1,140.279296875,0
19,2.99,31456,4178,4.0,3.5,1,4,1,47,0,1,True,0,10.23771858215332,1
20,1.99,2929,966,4.5,4.5,3,4,5,43,0,2,True,0,67.43232345581055,0
21,2.99,11447,781,5.0,5.0,5,4,1,40,5,1,True,0,5.8837890625,1
22,0.0,137951,131,4.0,4.5,6,4,5,37,2,6,True,1,124.5341796875,0
23,5.99,8,0,4.5,0.0,9,4,5,37,5,3,True,0,67.9052734375,0
24,3.99,3241,297,4.0,4.0,2,4,5,43,2,10,True,0,10.893829345703125,0
25,0.0,5795,12,3.5,4.0,8,4,5,37,5,11,True,1,179.3076171875,0
26,0.0,42316,248,3.0,3.5,2,9,1,38,0,1,True,1,4.544921875,1
27,0.0,123215,25,3.5,5.0,10,4,5,37,5,23,True,1,274.5947265625,0
28,4.99,782,7,4.0,3.5,1,4,5,43,1,1,True,0,4.06640625,0
29,9.99,3449,23,4.0,4.5,3,4,5,37,5,1,True,0,164.7685546875,0
30,0.0,71856,62,3.5,4.5,9,4,5,37,2,23,True,1,261.158203125,0
31,1.99,13350,489,4.5,5.0,9,12,5,38,0,15,True,0,38.353515625,0
32,0.99,137,0,3.0,0.0,5,4,2,37,1,1,True,0,2.2763671875,0
33,0.0,180087,1101,3.5,4.5,5,12,1,37,5,5,True,1,100.546875,1
34,0.99,33426,299,4.0,5.0,7,4,5,37,5,3,True,0,42.0849609375,0
35,0.0,293228,110,4.0,3.0,8,12,5,37,5,2,True,1,111.048828125,0
36,1.99,21609,69,3.5,2.5,2,9,2,40,0,1,True,0,1.5703125,0
37,4.99,4684,10,4.0,4.0,8,4,5,37,4,9,True,0,28.6259765625,0
38,2.99,2104,0,4.5,0.0,5,17,5,37,0,1,True,0,28.1513671875,0
39,2.99,41633,6,4.0,3.0,1,9,1,37,0,1,True,0,63.7744140625,1
40,2.99,3610,7,4.5,5.0,3,4,4,37,5,1,True,0,43.1337890625,0
41,0.0,4677,12,3.0,4.0,6,12,5,37,5,21,True,1,121.5654296875,0
42,3.99,30,0,3.5,0.0,2,4,5,37,0,2,False,0,42.1923828125,0
43,0.0,48905,2691,4.5,4.5,7,4,5,37,4,12,True,1,102.9814453125,0
44,4.99,32,0,3.0,0.0,3,4,5,38,5,7,True,0,7.671875,0
45,0.0,446185,1359,3.5,3.5,7,4,5,43,5,30,True,1,35.490234375,0
46,1.99,21825,10,3.0,4.0,4,9,2,37,5,1,True,0,57.5263671875,0
47,0.0,508808,99,3.0,4.5,6,4,1,38,5,10,True,1,96.177734375,1
48,0.0,57500,103,3.0,4.0,3,4,5,37,0,1,False,1,69.3779296875,0
49,1.99,2576,4,4.0,5.0,7,4,1,38,5,1,True,0,30.6748046875,1
50,1.99,1572,34,4.0,4.5,4,4,5,37,0,13,True,0,65.87890625,0
51,2.99,3292,2,3.0,5.0,4,4,5,37,2,2,True,0,78.2373046875,0
52,4.99,8932,55,4.5,5.0,7,4,3,37,0,12,True,0,143.2373046875,0
53,0.0,495626,5893,3.5,4.5,8,4,5,37,0,33,True,1,190.4814453125,0
54,0.99,812,14,3.0,4.0,8,4,5,38,0,7,True,0,12.546875,0
55,2.99,1583,2,3.5,4.5,2,12,5,37,5,1,True,0,28.9609375,0
56,0.0,113936,150,4.5,5.0,10,4,5,37,1,6,True,1,89.0927734375,0
57,4.99,2027,2,4.0,5.0,9,4,2,37,5,33,True,0,30.0458984375,0
58,3.99,768,4,4.0,4.0,7,4,3,37,3,3,True,0,24.79296875,0
59,0.0,373835,402,4.0,4.5,8,4,5,37,3,1,True,1,173.62109375,0
60,0.0,108131,13,3.0,2.0,8,4,5,37,0,1,True,1,132.326171875,0
